FILTER_Mutect2 FILTER_Freebayes FILTER_Vardict FILTER_Varscan m2_MQ f_MQMR vs_SSC vs_SPV vd_SSF vd_MSI True_SNV
0 1 0 0 46.589000000000006 0.0 3.0 0.66221445 1.0 1.0 0
0 0 0 1 56.141000000000005 55.49267 14.0 0.038228 0.09655649999999999 1.9 0
0 0 0 1 55.916 52.889824999999995 8.0 0.12945 0.13558699999999996 3.7 0
0 0 0 1 55.67650000000001 53.949645 11.0 0.066667 0.08115 2.65 0
0 0 0 1 55.713 54.64387000000001 8.0 0.12821 0.194047 4.1 0
0 0 0 1 57.5785 57.15313 12.0 0.059617 0.115735 3.55 0
0 0 0 1 54.7615 53.13560500000001 14.0 0.039139 0.13729249999999998 2.55 0
0 0 0 1 50.986999999999995 50.03012 16.0 0.024886 0.10409 2.0 0
0 0 0 1 50.0555 50.68778 17.0 0.018558 0.41667 2.0 0
0 0 0 1 55.37850000000001 54.436975000000004 15.0 0.030365 0.07883549999999999 2.0 0
0 0 0 1 57.11600000000001 56.345600000000005 12.0 0.059574 0.11645449999999999 3.5 0
0 0 0 1 49.9405 56.350205 18.0 0.014808 0.53371 1.0 0
0 0 0 1 49.7125 56.154375 17.0 0.016158 0.5 1.0 0
0 0 0 1 58.555499999999995 51.071295 9.0 0.1025 0.07807549999999999 2.15 0
1 0 0 0 40.21 50.180580000000006 9.0 0.11472 0.21131199999999994 4.05 0
0 0 0 1 55.32800000000001 49.393315 13.0 0.047193 0.09172949999999999 2.25 0
0 0 0 1 51.57750000000001 30.4694 15.0 0.029296 0.04241 1.0 0
0 0 0 1 58.827 55.26041 7.0 0.18987 0.17810949999999998 4.45 0
1 0 0 0 44.31 47.689415 13.8 0.10703665999999998 0.01904 2.0 0
0 0 0 1 57.9015 57.24426 11.0 0.065377 0.110249 2.15 0
0 0 0 1 51.57650000000001 50.595355 22.0 0.006181 0.10778 1.0 0
0 0 0 1 53.437 46.9464 14.0 0.031632 0.1131025 2.15 0
0 0 0 1 58.066500000000005 49.871905 6.0 0.24359 0.1934185 3.4 0
0 0 0 1 56.985 53.846785 9.0 0.12422 0.15542050000000002 3.75 0
0 0 0 1 56.985 53.846785 9.0 0.12422 0.15542050000000002 3.75 0
0 0 0 1 53.00600000000001 49.77446499999999 9.0 0.1087 0.12436999999999998 2.7 0
0 0 1 0 42.75 21.2 21.0 0.0068111 0.0035 1.0 0
0 1 0 0 44.31 20.2 22.0 0.0052174 0.00339 1.0 0
0 0 0 1 49.94950000000001 51.459585000000004 15.0 0.025723 0.38357 1.0 0
1 0 0 1 53.26 50.958375 17.0 0.018754 0.04768 1.0 0
0 0 0 1 58.88099999999999 55.31950349999998 9.0 0.12471 0.10775899999999998 2.65 0
0 0 0 1 57.5295 57.151644999999995 7.0 0.17647 0.17631000000000002 3.05 0
1 0 0 0 55.01 52.150774999999996 7.0 0.19435 0.07004 7.0 0
0 1 0 0 51.940999999999995 25.4074 13.95 0.08162649 0.09317 1.0 0
1 0 0 0 56.92 50.79206 10.15 0.13264625000000002 0.11253 5.0 0
0 1 0 0 51.346500000000006 39.3191 14.85 0.065475595 0.02637 1.0 0
0 0 1 0 56.989999999999995 47.04801500000001 13.5 0.09926629000000001 0.01975 1.0 0
0 0 0 1 51.4645 52.266875000000006 13.0 0.042883 0.13808649999999997 2.05 0
0 1 0 0 58.052499999999995 50.74908 14.15 0.10043292 0.01451 2.0 0
0 1 0 0 59.41799999999999 57.19954 19.1 0.021544138999999997 0.00743 2.0 0
0 1 0 0 53.872 49.1008 16.2 0.05261057 0.00883 2.0 0
0 1 0 0 55.26899999999999 51.3578 22.55 0.10561095997785001 0.06878050000000001 3.6 0
0 0 0 1 55.96 47.8245615 13.0 0.048291 0.04333 1.0 0
0 0 0 1 49.9805 50.8214 28.0 0.0013956 0.00608 1.0 0
0 0 0 1 52.74 45.3357865 13.0 0.043108 0.01582 2.0 0
0 1 0 0 56.3165 48.2393 6.0 0.21734 0.01202 1.0 0
1 0 0 0 58.18 57.07794 21.55 0.06711515958299999 0.0593445 3.5 0
1 0 0 0 58.18 57.07794 21.55 0.06711515958299999 0.0593445 3.5 0
1 1 1 0 60.0 59.913 81.0 7.5352e-09 0.0 2.0 1
0 0 0 1 55.225 52.223605 4.0 0.35172 0.153415 2.45 0
0 1 0 0 41.1915 0.0 1.95 0.7525368 0.96 3.25 0
0 1 0 0 41.1915 0.0 1.95 0.7525368 0.96 3.25 0
0 0 1 0 59.87949999999999 60.0 0.0 1.0 0.0 3.0 0
0 0 0 1 53.952999999999996 54.614459999999994 21.0 0.0063201 0.01919 1.0 0
0 0 0 1 56.680499999999995 55.895825 14.0 0.037847 0.11178099999999999 1.55 0
0 0 0 1 55.31500000000001 51.127469999999995 9.0 0.10606 0.1576795 3.55 0
0 0 0 1 58.2965 55.397400000000005 4.0 0.35897 0.3914605 4.65 0
0 0 0 1 55.1035 55.895860000000006 14.0 0.03876 0.10187449999999998 2.5 0
0 0 0 1 55.957499999999996 53.654579999999996 11.0 0.066957 0.0842145 3.25 0
1 0 0 0 56.18 58.4872 16.0 0.02149 0.06506 2.0 0
0 0 0 1 49.0225 43.5 16.0 0.020864 0.02289 2.0 0
0 1 0 0 55.133500000000005 42.34083 10.75 0.19036892660000004 0.03784 0.0 0
0 0 0 1 57.842 53.13279500000001 10.0 0.088833 0.1698645 4.1 0
0 0 0 1 57.6485 50.17469 4.0 0.32308 0.24407249999999997 2.45 0
