FILTER_Mutect2 FILTER_Freebayes FILTER_Vardict FILTER_Varscan m2_MQ f_MQMR vs_SSC vs_SPV vd_SSF vd_MSI True_SNV
0 0 0 1 59.7350614986791 62.362394378034246 7.0 0.175 -0.05206426537522407 5.974623599419519 0
0 0 1 0 53.47429326897581 47.5455 -4.19787435718308 0.2475514082662802 0.15 1.0 0
0 0 1 0 53.89 52.037 5.385569510953108 0.3461645049723421 0.27368 2.0 0
1 0 1 0 50.18 45.6957 8.6746974859057 0.27127699990993465 0.03719 2.0 0
0 1 0 1 51.8 42.6061 5.0 0.25926 0.25926 4.0 0
0 1 0 0 50.93 34.9333 22.304516493742383 -0.02801871426415857 0.11876 2.0 0
0 1 0 0 51.97 35.8806 22.25871196289306 -0.20312732195934302 0.07709 2.0 0
0 1 0 0 52.27 41.36509944014338 6.527320157007038 0.21613297732010922 0.33388862853805473 8.14623806422058 0
0 1 0 0 52.27 45.10651859212908 15.44862262113259 0.006267640364929744 0.22679209960204216 4.332751766437642 0
1 0 0 0 53.91 48.787408058240935 13.037961025661037 0.20329292263935037 0.1482249883091594 7.001895165935462 0
0 1 0 0 35.20565448155644 0.0 15.254840792511997 0.002479562041131665 0.6450271389425642 2.8106055030845067 0
0 1 0 0 49.91847593947516 38.5 -30.812526692203456 0.788760270314918 1.0 3.0 0
1 0 0 0 45.2 29.983933337247983 -8.26649024332901 0.2979160063497172 0.5439001714519958 -3.486208510198222 0
0 0 0 1 54.2 46.00490349418252 13.0 0.045894 0.04549 1.0 0
1 0 0 0 56.29 53.46636169229023 6.0 0.23092 0.24452 2.0 0
0 0 0 1 55.04142431768873 47.36480286497293 16.0 0.020648 0.1951893918008302 -2.788232016515731 0
0 0 0 1 60.00924178327962 58.57737840340361 13.0 0.046059 0.07963849138657858 4.25375668360372 0
0 0 0 1 49.9208816795198 35.812574392879895 11.0 0.069231 0.11991 4.0 0
0 0 0 1 53.52 40.7143 11.0 0.069231 0.04072 1.0 0
0 0 0 1 60.08342747556181 57.8178036124988 10.0 0.081081 0.13421109992329835 4.024702908601768 1
0 0 0 1 51.04 42.4615 4.0 0.3956 0.3956 4.0 0
0 0 0 1 57.620291824728845 56.01139315093126 5.0 0.27273 0.1784281104610928 1.8617250855067948 0
0 1 0 1 57.70616953569014 58.81653275709303 13.0 0.048368 0.1043 3.0 0
0 1 0 1 57.79719261100501 56.24748594413341 13.0 0.04247 0.02475 2.0 0
0 1 0 0 60.09358256748143 60.0 12.0 0.050365 0.0632029971732567 -1.0387364108449928 0
0 1 0 0 57.04527062425674 56.3396 12.005336964359584 0.35102797779742767 0.10239 2.0 0
0 1 0 0 55.847464956729965 49.26797650083556 8.0 0.15091 0.10385 1.0 0
0 1 0 0 57.84130993403565 55.57931654579455 10.0 0.097796 0.08561 1.0 0
0 0 0 1 57.56678455213678 53.61213942559522 16.0 0.024141 -0.00839328769926386 2.6099266158417 0
0 0 0 1 54.261543841360414 48.41501596223785 4.0 0.33868 0.28119867518492514 2.5090629358389025 0
0 0 0 1 55.69784232390521 51.22659273437189 4.0 0.35985 0.1658615890247206 1.299820361926355 0
0 0 0 1 63.46710087988223 68.62275502462673 4.0 0.33498 0.24469505397983224 4.007593873805854 0
0 1 0 0 31.722181956955808 0.0 -23.911080242776094 0.6518126536246878 1.0 1.0 0
0 0 0 1 60.068963982162025 57.8333 10.0 0.083916 0.08392 2.0 0
0 1 0 0 58.90176190349371 60.0 1.958831650297979 0.2706427484472649 -0.05536965449972009 3.4628722090155204 0
0 1 0 0 59.41360001763513 60.0 21.292050752705734 -0.046800328796691604 -0.043596689710280655 1.9982976550725535 0
0 0 0 1 60.0 60.52439054136878 4.0 0.31746 0.31746 2.0 1
0 0 0 1 52.10484348741834 44.014555079252624 2.0 0.61957 0.54131 1.0 0
0 0 1 0 61.50327421590949 68.77897820593121 1.0 0.65385 0.01863 1.0 0
0 0 0 1 60.0 60.264428250217875 7.0 0.18347 0.2139 2.0 0
1 0 1 0 58.72 56.0294 21.975721965051648 0.0749733970409861 0.1776 1.0 1
1 0 1 1 60.0 58.329340367423 10.0 0.085668 0.08567 1.0 1
0 0 0 1 57.54192677741766 52.81045739868947 4.0 0.38306 0.3645952134605791 4.227563310154982 0
0 1 0 0 58.849805463469444 60.0 15.302150285497708 0.042656832630636514 0.040918808991175046 5.309219396159374 0
0 1 0 0 58.85370110686864 60.0 6.842585613679843 0.16781528283698113 0.3671943335058705 4.568306171356339 0
0 1 0 0 59.11444131399115 60.0 7.117466695736198 0.3327426991461567 0.18210584028960697 4.898866307320734 0
0 1 0 0 48.73 25.7347 6.0 0.20562 0.11111 1.0 0
1 1 1 1 60.0 60.0 10.0 0.088889 0.06012 3.0 1
1 1 1 1 60.0 60.0 18.0 0.015417 0.04779 2.0 1
0 1 0 0 53.78359388920628 48.4211 8.591839318757124 0.3980381369276097 0.2085455024799158 1.4834318475334047 0
