FILTER_Mutect2 FILTER_Freebayes FILTER_Vardict FILTER_Varscan m2_MQ f_MQMR vs_SSC vs_SPV vd_SSF vd_MSI True_SNV
0 0 1 0 45.593500000000006 51.576814999999996 2.0 0.62783 0.0 6.0 0
0 0 0 1 52.69199999999999 46.01562 24.0 0.0035588 0.06463500000000001 3.35 0
0 1 0 0 35.6625 3.88679 13.7 0.13347582299999997 0.814611 2.05 0
0 0 0 1 45.1415 45.95666 13.0 0.043528 0.21742650000000002 2.9 0
0 0 1 1 34.81 42.31281 23.0 0.0043715 0.03642 2.0 0
1 0 0 0 32.24 25.570429999999998 35.5 0.04359000850014553 0.18229399999999998 2.05 0
0 0 0 1 50.522499999999994 24.0332 13.0 0.041688 0.08019 2.0 0
0 1 1 1 49.9135 23.1111 18.0 0.015782 0.00447 1.0 0
0 0 0 1 50.2495 44.1212115 15.0 0.028458 0.67003 2.0 0
0 0 0 1 48.266999999999996 19.96 14.0 0.034287 0.10095 1.0 0
0 0 0 1 43.87950000000001 44.579840000000004 14.0 0.032417 0.0950475 2.6 0
0 1 0 0 41.0325 0.0 4.35 0.5742076399999999 1.0 1.0 0
0 0 1 0 47.562 40.642595 14.6 0.1379159973 0.57143 1.0 0
0 0 1 0 44.440000000000005 41.6670315 10.0 0.089049 0.0485 1.0 0
0 0 0 1 45.376999999999995 41.096825 16.0 0.02359 0.123505 2.9 0
0 0 0 1 49.9095 44.35590499999999 14.0 0.03633 0.1113935 2.6 0
0 1 0 0 47.751000000000005 0.0 4.0 0.36204 1.0 3.0 0
0 0 0 1 47.77 46.36823149999999 15.0 0.029301 0.04929 2.0 0
0 0 0 1 49.054 41.926855 33.0 0.00040092 0.026631500000000002 2.0 0
0 0 0 1 51.452999999999996 49.614125 16.0 0.024896 0.1043205 2.45 0
0 0 0 1 49.3805 16.6923 22.0 0.005481 0.47416 2.0 0
0 0 1 0 46.397999999999996 41.764204 13.9 0.08030202000000002 0.19269 1.0 0
0 0 0 1 49.2665 42.962740000000004 22.0 0.0054808 0.15074099999999996 1.9 0
0 0 1 0 47.5055 48.33769 16.6 0.09299191700000001 0.0613 2.0 0
0 0 0 1 47.22250000000001 46.83133 23.0 0.0047249 0.019164999999999995 2.55 0
1 0 0 0 26.71 24.285625 57.95 0.1251849312877507 0.16368 1.8 0
0 0 0 1 50.948499999999996 45.07096 23.0 0.00404 0.10860599999999998 2.0 0
0 0 0 1 37.17 21.3077 20.0 0.0097142 0.48529 4.0 0
0 0 1 1 48.0735 33.9586075 10.0 0.080042 0.09774 2.0 0
1 0 0 0 45.02 33.09028000000001 22.05 0.026857421377774998 0.045607 2.3 0
0 0 0 1 40.7 41.657599999999995 18.0 0.013012 0.3426 1.0 0
0 0 0 1 50.715999999999994 47.57895499999999 12.0 0.062121 0.17435450000000002 2.5 0
0 0 0 1 50.18749999999999 44.674705 11.0 0.065402 0.12026150000000002 5.95 0
